model number,number of steady states,number of runs that converged,AMPK,mTOR,SNAIL ,ZEB,miR200,miR34
1,2,21,5.933762,-5.45009,-2.396844,-9.290894,7.400069,-0.651981
1,2,79,5.933762,-5.45009,-2.396844,1.496332,1.279846,-0.651981
2,1,100,4.180594,-1.341432,-0.217802,-12.149013,5.521167,0.862551
3,1,100,0.62624,7.447541,5.040066,10.368736,-10.051472,1.336439
4,3,93,4.805035,1.047177,-8.310965,-20.602543,5.413498,8.264311
4,3,1,3.090821,7.498511,1.087479,-6.745478,2.970102,4.654425
4,3,6,3.090821,7.498511,1.087479,3.082052,-3.044197,4.654425
5,2,48,4.100793,-0.206404,-6.874274,-16.141983,7.469354,7.330296
5,2,52,1.603946,6.089115,0.32531,6.027876,-2.747075,6.092496
6,1,100,4.152781,2.01097,-5.44528,-17.300146,5.917945,6.986257
7,3,23,1.534707,4.890666,0.107696,1.18844,-3.241841,6.976645
7,3,64,4.596947,-1.66837,-4.82006,-25.078634,6.100233,8.00078
7,3,13,1.534707,4.890666,0.107696,-10.573178,2.544215,6.976645
8,2,53,3.40243,0.242817,-2.896467,-11.073473,4.944427,5.533505
8,2,47,0.550295,7.493048,0.394169,7.348447,-5.64211,2.121842
9,1,100,1.607834,4.627087,-5.082963,-13.675143,5.002311,8.418784
10,1,100,2.866914,-5.540274,-11.907337,-16.333661,4.379272,7.086124
11,1,100,5.053447,-1.978518,-8.215452,-14.307188,4.533128,7.626298
12,1,100,4.721979,1.613072,0.948753,-2.375501,1.724232,0.38392
13,1,100,0.471029,5.698564,2.020109,8.064148,-5.325565,1.93468
14,1,100,3.565524,-3.355076,-6.157328,-10.17071,5.616312,2.277924
15,2,55,2.001307,6.290518,3.97881,9.671973,-3.218351,1.064911
15,2,45,4.237708,-3.878222,-7.319881,-20.41557,8.080055,5.291455
16,1,100,4.281319,-1.484086,-4.083468,-17.168399,5.585571,4.291058
17,1,100,-0.699441,7.761761,3.909144,7.13611,-11.878796,2.180432
18,1,100,4.279039,-2.25001,-3.425245,-18.724774,5.064206,7.164522
19,1,100,6.296685,-2.969939,-6.346385,-13.318465,6.260827,2.269613
20,1,100,2.046745,1.402529,-9.019324,-10.376578,4.948134,8.482894
21,1,100,-0.809978,7.868541,0.012949,8.723231,-5.290034,6.296538
22,2,88,-0.472155,6.092838,4.797717,6.59434,-5.947773,-0.535579
22,2,12,4.590492,1.861537,-1.917935,-14.45393,6.375507,5.710186
23,1,100,4.091523,-0.320415,-4.070337,-9.653162,5.106122,4.878218
24,2,38,-2.470673,6.833459,3.756127,8.908866,-10.209581,2.105502
24,2,62,-2.470672,6.66616,0.220747,2.900625,-9.460951,5.995504
25,1,100,4.93808,-3.810126,-9.680328,-20.88936,5.88321,7.366275
26,1,100,3.815144,-0.405553,-6.41353,-14.831922,6.784007,7.214925
27,1,100,6.604679,-3.537841,-7.087786,-17.722802,8.463815,4.164913
28,2,93,-0.043763,7.326859,1.524205,12.298668,-6.57821,-0.709025
28,2,7,3.555542,0.698547,-4.377478,-13.070632,8.3557,4.59303
29,1,100,-0.592258,7.633484,1.913686,9.371662,-9.588802,3.031438
30,1,100,3.887497,-1.930469,-3.732352,-15.4242,6.417407,5.860327
31,2,62,3.029425,1.242919,2.226222,-10.245173,-0.796712,0.882476
31,2,38,3.030739,-5.393448,-4.085488,-27.667017,5.755362,6.67911
32,1,100,-4.977621,6.067486,0.834461,8.814579,-4.665087,-1.647072
33,1,100,2.232741,6.546747,0.80466,9.350397,-3.275746,1.166571
34,1,100,5.450323,-0.997607,-1.029185,-14.780969,5.895792,-0.125199
35,1,100,1.401007,3.002432,-1.518868,-7.580368,-0.835016,8.193089
36,2,81,-0.200912,6.644454,1.674199,5.8338,-9.051197,3.408654
36,2,19,4.852357,-2.034294,-4.714109,-23.728022,7.839182,8.04349
37,1,100,1.848461,4.032932,0.575995,9.789965,-5.03586,4.13685
38,1,100,-1.033071,5.320433,-1.693023,5.852503,-4.614167,6.474545
39,1,100,4.523102,-1.734853,-12.71715,-20.742589,6.906448,6.515217
40,3,62,4.739264,1.323227,-1.065462,1.152249,0.659227,0.37937
40,3,19,4.747397,-1.179767,-2.240664,-12.564165,5.788207,0.860812
40,3,19,4.739264,1.323227,-1.065462,-9.122968,5.19299,0.379371
41,2,65,2.812426,4.906997,-1.630097,4.798216,-5.184595,5.1708
41,2,35,1.731962,6.944506,3.792854,9.263522,-9.542779,1.6057
42,1,100,0.605906,6.135936,0.524301,10.808567,-2.964699,0.437065
43,4,42,3.159833,5.649063,0.653981,5.512759,-5.036539,0.644483
43,4,29,4.424975,3.785019,0.272849,-4.02213,1.462074,1.196078
43,4,22,4.424974,3.78502,0.272849,2.176178,-3.840925,1.196077
43,4,7,4.67192,-0.82891,-4.360497,-12.310087,6.973646,3.519514
44,1,100,4.494171,-1.623552,-3.208886,-21.562616,7.876266,9.025258
45,1,100,0.906146,6.818117,-1.542545,3.776519,-5.428417,7.673388
46,1,100,2.781058,0.531137,-0.287016,3.890863,-5.360262,3.436178
47,1,100,3.302347,-2.944264,-4.406699,-16.927393,8.217582,4.061743
48,2,89,4.292569,0.453794,-4.772747,-15.438086,7.055822,6.393627
48,2,11,1.210056,6.105018,0.163431,6.080428,-5.292062,5.496949
49,1,100,6.348489,-5.02163,-12.348234,-14.557269,8.631867,7.744601
50,2,74,3.595457,-2.299922,-5.196258,-16.208582,5.810835,6.347665
50,2,26,1.328811,4.288991,0.154182,4.988621,-9.378638,4.813362
